u1,u2,q1d,q1,q2d,q2,dq1d,dq1,dq2d,dq2,ddq1d,ddq1,ddq2d,ddq2
102,72,80,69,15,0.45,0,-15,0,15,0,0,0,0
106,72,80,68.7,15,0.45,0,-15,0,15,0,0,0,0
110,72,80,68.55,15,0.45,0,-15,0,15,0,0,0,0
113,72,80,68.4,15,0.45,0,-15,0,15,0,0,0,0
114,72,80,68.4,15,0.45,0,-15,0,15,0,0,0,0
115,72,80,68.55,15,0.45,0,15,0,15,0,3000,0,0
115,72,80,68.7,15,0.45,0,15,0,15,0,0,0,0
115,72,80,68.85,15,0.45,0,15,0,15,0,0,0,0
116,72,80,69,15,0.45,0,15,0,15,0,0,0,0
116,71,80,69.15,15,0.6,0,15,0,15,0,0,0,0
117,71,80,69.15,15,0.6,0,15,0,15,0,0,0,0
118,71,80,69.3,15,0.6,0,15,0,15,0,0,0,0
119,71,80,69.3,15,0.6,0,15,0,15,0,0,0,0
122,71,80,69.15,15,0.6,0,-15,0,15,0,-3000,0,0
125,71,80,69,15,0.6,0,-15,0,15,0,0,0,0
127,71,80,69,15,0.6,0,-15,0,15,0,0,0,0
130,71,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
132,70,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
133,70,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
135,70,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
137,70,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
137,70,80,69,15,0.6,0,15,0,15,0,3000,0,0
139,70,80,69,15,0.6,0,15,0,15,0,0,0,0
139,70,80,69.15,15,0.6,0,15,0,15,0,0,0,0
141,70,80,69.15,15,0.6,0,15,0,15,0,0,0,0
142,70,80,69.15,15,0.6,0,15,0,15,0,0,0,0
144,70,80,69.15,15,0.6,0,15,0,15,0,0,0,0
145,70,80,69.15,15,0.6,0,15,0,15,0,0,0,0
148,69,80,69,15,0.6,0,-15,0,15,0,-3000,0,0
150,69,80,69,15,0.6,0,-15,0,15,0,0,0,0
153,69,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
155,69,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
157,69,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
158,69,80,68.85,15,0.6,0,-15,0,15,0,0,0,0
158,69,80,69,15,0.6,0,15,0,15,0,3000,0,0
160,69,80,69,15,0.6,0,15,0,15,0,0,0,0
162,69,80,69,15,0.6,0,15,0,15,0,0,0,0
162,69,80,69.15,15,0.6,0,15,0,15,0,0,0,0
164,69,80,69.15,15,0.6,0,15,0,15,0,0,0,0
165,68,80,69.15,15,0.6,0,15,0,15,0,0,0,0
167,68,80,69.15,15,0.6,0,15,0,15,0,0,0,0
169,68,80,69.15,15,0.6,0,15,0,15,0,0,0,0
172,68,80,69,15,0.6,0,-15,0,15,0,-3000,0,0
173,68,80,69,15,0.6,0,-15,0,15,0,0,0,0
175,68,80,69,15,0.6,0,-15,0,15,0,0,0,0
176,68,80,69,15,0.6,0,-15,0,15,0,0,0,0
178,68,80,69,15,0.6,0,-15,0,15,0,0,0,0
180,68,80,69,15,0.6,0,-15,0,15,0,0,0,0
181,68,80,69,15,0.6,0,-15,0,15,0,0,0,0
183,68,80,69,15,0.6,0,-15,0,15,0,0,0,0
185,68,80,69,15,0.6,0,-15,0,15,0,0,0,0
185,63,80,69.15,15,0.6,0,15,0,15,0,3000,0,0
187,63,80,69.15,15,0.6,0,15,0,15,0,0,0,0
188,63,80,69.15,15,0.6,0,15,0,15,0,0,0,0
190,63,80,69.15,15,0.6,0,15,0,15,0,0,0,0
191,62,80,69.15,15,0.6,0,15,0,15,0,0,0,0
193,62,80,69.15,15,0.6,0,15,0,15,0,0,0,0
195,62,80,69.15,15,0.6,0,15,0,15,0,0,0,0
196,62,80,69.15,15,0.6,0,15,0,15,0,0,0,0
198,61,80,69.15,15,0.6,0,15,0,15,0,0,0,0
200,61,80,69.15,15,0.6,0,15,0,15,0,0,0,0
201,57,80,69.15,15,0.6,0,15,0,15,0,0,0,0
203,56,80,69.15,15,0.6,0,15,0,15,0,0,0,0
205,56,80,69.15,15,0.6,0,15,0,15,0,0,0,0
205,56,80,69.3,15,0.6,0,15,0,15,0,0,0,0
206,55,80,69.3,15,0.6,0,15,0,15,0,0,0,0
207,55,80,69.45,15,0.6,0,15,0,15,0,0,0,0
207,54,80,69.6,15,0.6,0,15,0,15,0,0,0,0
207,54,80,69.75,15,0.6,0,15,0,15,0,0,0,0
207,54,80,69.9,15,0.6,0,15,0,15,0,0,0,0
213,49,81,70.05,15,0.6,0,15,0,15,0,0,0,0
212,49,81,70.35,15,0.6,0,15,0,15,0,0,0,0
212,48,81,70.5,15,0.6,0,15,0,15,0,0,0,0
211,47,81,70.8,15,0.6,0,15,0,15,0,0,0,0
210,47,81,71.1,15,0.6,0,15,0,15,0,0,0,0
207,46,81,71.55,15,0.6,0,15,0,15,0,0,0,0
205,46,81,71.85,15,0.6,0,15,0,15,0,0,0,0
204,41,81,72.15,15,0.6,0,15,0,15,0,0,0,0
201,40,81,72.6,15,0.6,0,15,0,15,0,0,0,0
199,40,81,72.9,15,0.6,0,15,0,15,0,0,0,0
